Bowler,Runs,PitchX,PitchY
BA Hutton,0,7.8285025,-0.2788979
BA Hutton,0,8.4344342,-0.1812354
D Paterson,0,5.3335127,0.3676807
D Paterson,0,7.1572649,0.4740337
D Paterson,0,4.1516046,-0.4122343
D Paterson,0,6.836288,-0.3661422
D Paterson,0,8.4543273,-0.3506123
BA Hutton,0,9.1507522,-0.2069555
BA Hutton,0,6.4627107,-0.3125509
BA Hutton,0,7.7891592,-0.2937026
BA Hutton,0,8.2060647,-0.1849459
D Paterson,0,6.1382585,-0.4755186
D Paterson,0,6.427774,-0.3296316
D Paterson,0,6.4883394,-0.2537763
D Paterson,0,5.6068735,-0.356666
D Paterson,1,5.9764671,-0.2926562
BA Hutton,4,7.077329,-0.1587536
BA Hutton,0,7.1792137,-0.2676967
BA Hutton,0,8.8566911,-0.324772
BA Hutton,0,6.8183367,-0.292642
BA Hutton,0,7.1753335,-0.202969
BA Hutton,2,7.2090821,-0.4096396
BA Hutton,0,6.5730842,-0.3535279
BA Hutton,0,8.4598066,-0.1691445
BA Hutton,0,9.3767611,-0.2642535
BA Hutton,0,9.4743474,-0.2212081
BA Hutton,0,6.7925012,-0.3178925
BA Hutton,0,7.9233961,-0.279257
BA Hutton,0,9.4627457,-0.1035555
LW James,0,6.1347117,-0.5386877
LW James,0,7.2366776,-0.4097918
LW James,2,7.8176911,-0.5985116
LW James,0,6.7241365,-0.2039949
LW James,0,7.9626152,-0.2497277
LW James,0,4.5116298,-0.2409614
LW James,0,7.6824375,-0.4365909
LW James,0,7.6356307,-0.2299064
LW James,0,6.6673028,-0.2973089
LW James,0,6.935115,-0.3015576
LW James,1,5.449888,-0.0610825
LW James,0,6.2053235,-0.1890078
LW James,0,7.301027,-0.2555567
LW James,1,7.8074763,-0.4135916
LW James,0,5.9626777,-0.0416525
LW James,0,7.328213,-0.3528173
LW James,0,7.6504412,-0.2202415
LW James,0,4.5181379,-0.1665011
LW James,0,5.0826662,-0.4573868
LW James,0,7.2941318,-0.344131
LW James,0,8.3469378,-0.3632418
LW James,0,8.8914054,-0.1850549
LW James,0,6.7159729,-0.4515051
LW James,0,8.9246081,-0.3625374
LW James,0,5.1874401,-0.0660554
LW James,2,9.7839133,-0.5563922
LW James,0,6.1955188,-0.2145731
LW James,0,6.7323664,-0.3367243
LW James,0,8.6781583,-0.3029001
LW James,0,7.792425,-0.3647451
LW James,0,6.6747068,-0.4033109
DY Pennington,1,6.9157371,-0.2472204
DY Pennington,0,5.3633653,-0.3331811
DY Pennington,0,6.7995767,-0.3369522
DY Pennington,1,5.6950044,-0.2303287
DY Pennington,0,8.8668177,-0.2712702
DY Pennington,0,7.0432732,-0.2305791
SJ Cook,0,5.4296942,0.3022731
SJ Cook,0,7.1398343,0.2592733
SJ Cook,1,7.8818668,0.3046566
SJ Cook,0,8.8526436,-0.436478
SJ Cook,0,7.715339,-0.5181391
SJ Cook,0,7.3534912,-0.3897014
SJ Cook,0,7.3270082,-0.1526359
SJ Cook,0,7.5293202,-0.2393426
SJ Cook,0,6.0493216,-0.5191514
SJ Cook,0,7.8850677,-0.4377509
SJ Cook,0,6.309621,-0.151325
SJ Cook,0,7.7235558,0.4200664
SJ Cook,0,7.9984452,0.2282217
SJ Cook,0,8.41785,0.3570341
SJ Cook,0,7.4311243,0.3744956
SJ Cook,2,12.3332174,0.391426
SJ Cook,4,8.5995097,0.5014295
SJ Cook,0,7.5543881,0.3558374
SJ Cook,0,8.6960366,0.3483847
SJ Cook,0,7.3253359,0.4613064
SJ Cook,0,7.7130575,0.3792586
SJ Cook,4,8.7343888,0.2655982
SJ Cook,1,8.4189865,0.3961562
SJ Cook,1,7.2534238,-0.2055919
SJ Cook,4,7.8674332,0.615138
SJ Cook,1,4.7362195,0.0694042
SJ Cook,0,8.644421,-0.4613021
SJ Cook,0,7.9690885,-0.4744387
SJ Cook,0,8.2118088,-0.1450676
SJ Cook,0,9.0365361,-0.3679572
SJ Cook,0,8.9712908,-0.4728461
SJ Cook,0,7.2851402,0.1910104
SJ Cook,0,7.6298533,-0.2617965
SJ Cook,0,7.8751437,-0.3829301
SJ Cook,3,9.4460308,-0.3715851
SJ Cook,0,8.6566718,-0.3896948
SJ Cook,0,8.0560564,-0.4011476
SJ Cook,0,7.7173857,-0.3874227
SJ Cook,1,7.8433128,-0.2913948
JA Porter,0,7.4067253,-0.5536869
JA Porter,1,9.0497118,-0.4326795
JA Porter,0,2.8389786,-0.221765
JA Porter,0,8.9067888,-0.5897823
JA Porter,0,6.9922893,-0.5174109
JA Porter,0,6.6398179,-0.2658455
JA Porter,0,7.7295067,-0.6975615
JA Porter,2,9.0802474,-0.7520689
JA Porter,0,6.1853305,-0.3502058
JA Porter,4,9.4772744,-0.7170092
JA Porter,0,8.5191947,-0.6895014
JA Porter,0,5.190766,-0.4068674
JA Porter,0,7.3645666,-0.2737684
JA Porter,0,9.2050169,-0.3692874
JA Porter,0,5.7168851,-0.3293338
JA Porter,0,6.960975,-0.5280619
JA Porter,1,6.3313675,-0.2144783
JA Porter,0,6.8018265,-0.7098044
JA Porter,2,7.9349515,-0.5611176
JA Porter,0,6.8735188,-0.370963
JA Porter,0,8.7228606,-0.5191437
JA Porter,0,5.6463911,-0.4839968
JA Porter,0,6.9872284,-0.6244151
JA Porter,1,7.4679804,-0.4994527
JA Porter,0,7.2171332,-0.3239828
JA Porter,0,8.2857671,-0.4332904
JA Porter,0,8.013965,-0.4723609
SJ Cook,0,7.9162526,-0.2030388
SJ Cook,0,7.7477489,-0.434625
SJ Cook,0,8.0601018,-0.4513135
SJ Cook,0,5.6200149,-0.133983
SJ Cook,0,6.6834602,-0.4055034
SJ Cook,0,8.0876999,-0.1295469
SJ Cook,0,7.7791261,-0.0719543
SJ Cook,0,7.7334659,-0.2411052
SJ Cook,0,8.2953463,-0.1572455
SJ Cook,0,8.1399941,-0.5255877
SJ Cook,0,6.7371411,-0.1174645
SJ Cook,0,7.8894087,-0.3251815
SJ Cook,0,7.2803802,-0.3479702
SJ Cook,0,6.9413095,-0.30952
SJ Cook,0,6.774283,-0.2318417
SJ Cook,0,8.7329541,-0.5935952
SJ Cook,0,7.953524,-0.3221127
SJ Cook,0,4.8120018,-0.2667327
SJ Cook,0,6.3567029,-0.3926934
SJ Cook,0,7.8083351,-0.1703338
JA Porter,0,9.1963284,-0.6326263
JA Porter,0,8.2987493,-0.5222577
JA Porter,4,10.3027595,-0.4897492
JA Porter,0,3.8452399,-0.2846593
JA Porter,1,8.1863233,-0.4839673
JA Porter,1,7.4627645,-0.2410335
JA Porter,0,8.0367718,-0.4719581
JA Porter,1,7.1538521,-0.2228998
JA Porter,0,7.4384409,-0.1503822
JA Porter,0,9.0329582,-0.6471737
JA Porter,1,8.6717984,-0.3175946
JA Porter,0,8.9962005,-0.4938718
JA Porter,0,7.0549948,-0.3339712
JA Porter,0,4.3169145,-0.2776442
JA Porter,0,6.8083528,-0.4063585
JA Porter,0,7.3069996,-0.4005618
JA Porter,0,7.0111969,-0.3998133
JA Porter,0,7.2805148,-0.3642174
JA Porter,0,6.625142,-0.3361655
JA Porter,0,8.5869676,-0.4420809
PI Walter,0,6.3190615,-0.2362195
PI Walter,1,7.3962586,-0.2049184
PI Walter,1,10.8758519,0.273108
PI Walter,0,7.7215684,-0.5295364
PI Walter,0,7.6472487,-0.4865954
PI Walter,0,6.0507739,-0.2041766
PI Walter,1,7.0647668,-0.9221689
PI Walter,0,9.8870195,-0.5590101
PI Walter,0,8.8819588,0.2435784
PI Walter,0,6.2447926,0.0172685
PI Walter,0,11.4904275,0.0985805
PI Walter,6,10.6744492,0.0088315
PI Walter,1,8.1435169,-0.0718443
S Snater,0,4.6645011,-0.3375693
S Snater,0,7.9150396,-0.4331104
S Snater,0,7.2566397,-0.4718505
S Snater,0,8.2117979,-0.4256701
S Snater,0,6.8651547,-0.4061129
S Snater,0,6.3376821,-0.4080022
S Snater,0,6.2860124,-0.2819518
S Snater,0,9.2837118,-0.5652322
S Snater,0,8.2597619,-0.425592
S Snater,0,5.8663532,0.0976932
S Snater,0,7.0648686,-0.3701909
S Snater,0,6.6588107,-0.3942497
S Snater,4,6.6774469,-0.3745573
S Snater,0,4.4673854,-0.4192742
S Snater,2,5.3356948,-0.4861442
S Snater,0,5.7312983,-0.3217965
S Snater,0,6.2859747,-0.2436892
S Snater,0,7.2754795,-0.6896861
S Snater,0,7.4965289,-0.4886894
S Snater,0,5.5220886,-0.3797467
S Snater,0,9.6848523,-0.3532082
S Snater,0,5.7214794,-0.1215239
S Snater,0,6.4953076,-0.2846209
S Snater,0,6.4183582,-0.4963266
S Snater,0,6.8655608,-0.1639713
S Snater,0,7.5908853,-0.2280489
SJ Cook,0,6.325141,-0.2127738
SJ Cook,0,8.2964166,-0.5318449
SJ Cook,3,7.1439006,-0.5059032
SJ Cook,0,7.9671371,-0.4862943
SJ Cook,0,8.7966,-0.4756959
SJ Cook,0,5.621997,-0.0282574
SJ Cook,0,8.8599683,-0.4778918
SJ Cook,0,6.9586995,-0.36733
SJ Cook,4,6.1718914,0.0667225
SJ Cook,0,9.8665543,-0.4917172
SJ Cook,0,7.7339061,-0.598493
SJ Cook,2,6.9551322,-0.3854268
SJ Cook,0,8.3052148,-0.5349253
SJ Cook,0,8.9774991,-0.3241229
SJ Cook,0,7.6669765,-0.4292143
SJ Cook,4,8.9736755,-0.5664879
JA Porter,0,5.5328692,-0.4757449
JA Porter,4,3.9640833,0.0407572
JA Porter,0,7.0225172,-0.2991227
JA Porter,4,7.8524679,-0.5094447
JA Porter,0,8.7069964,-0.4181257
JA Porter,1,8.1528865,-0.3277638
JA Porter,0,6.0462941,-0.2887817
JA Porter,0,8.4028791,-0.4118742
JA Porter,0,7.1696618,-0.3328751
JA Porter,0,8.9675924,-0.4928204
JA Porter,0,9.1606053,-0.5236086
JA Porter,0,5.8362091,-0.295527
JA Porter,0,7.3138079,-0.2653473
JA Porter,0,6.470982,-0.283495
JA Porter,0,7.784849,-0.3539615
JA Porter,0,10.0762835,-0.2776305
MJJ Critchley,0,5.3935611,-0.2729529
MJJ Critchley,1,6.9951049,-0.1449491
MJJ Critchley,0,6.4023025,-0.3058155
MJJ Critchley,1,5.7744746,-0.073049
MJJ Critchley,0,5.1057718,-0.1757209
MJJ Critchley,1,3.6231596,-0.1769413
MJJ Critchley,0,5.8048521,-0.1504391
MJJ Critchley,0,6.4810561,-0.0351496
MJJ Critchley,0,4.7673456,-0.2671987
MJJ Critchley,0,7.024096,-0.0747532
MJJ Critchley,3,6.6824756,-0.4543626
MJJ Critchley,0,5.0297366,-0.1564501
MJJ Critchley,0,5.9110406,-0.619463
SJ Cook,0,6.8889159,-0.0982806
SJ Cook,2,7.179029,-0.2951908
SJ Cook,0,7.1438984,-0.3105721
SJ Cook,0,6.2606984,-0.2885076
BA Hutton,0,7.1238702,0.29485
BA Hutton,2,7.2470404,0.2201875
BA Hutton,0,7.660597,0.5336297
BA Hutton,0,6.9549893,0.3391866
BA Hutton,0,7.2680516,0.6666964
BA Hutton,0,6.2272352,0.4041556
BA Hutton,0,5.2276728,0.3284751
BA Hutton,0,8.5933189,0.4131226
BA Hutton,0,6.8838408,0.5920797
BA Hutton,0,9.115058,0.526885
BA Hutton,0,6.9270273,0.4847158
BA Hutton,4,4.1707735,-0.0541516
BA Hutton,0,7.2951667,0.0480607
BA Hutton,0,8.187012,-0.3036047
BA Hutton,0,6.9549013,-0.1361848
BA Hutton,0,8.6087138,-0.1578631
BA Hutton,0,13.1227137,-0.1870144
BA Hutton,0,6.7883544,-0.1196882
BA Hutton,4,8.2060795,-0.377348
BA Hutton,0,6.4410087,0.5447586
LW James,4,7.6731046,-0.489083
LW James,2,4.8210527,0.0555159
LW James,0,7.2210739,-0.2757233
LW James,0,6.3790397,-0.3592827
LW James,0,12.8158138,-0.3628379
LW James,0,8.1337955,-0.3937067
LW James,0,8.1095694,-0.1458281
LW James,0,5.6661194,-0.2343459
LW James,0,12.5551441,-0.433278
LW James,0,6.7053543,-0.1091071
LW James,0,7.4059743,-0.4766103
LW James,4,6.5454318,-0.0701399
DY Pennington,1,5.0265256,0.5237964
DY Pennington,4,5.7653409,-0.5139941
DY Pennington,0,6.8769807,-0.4673251
DY Pennington,0,6.7135466,-0.3989572
LW James,0,8.0206063,-0.4015209
LW James,1,11.031786,-0.4125107
LW James,4,6.6218247,0.4915689
D Paterson,1,5.9912614,-0.5231056
D Paterson,0,6.2623209,-0.2911902
D Paterson,1,7.2060734,-0.3421934
D Paterson,0,6.5573841,-0.4674425
D Paterson,4,4.6565565,-0.1898991
D Paterson,0,7.5481046,-0.4584064
D Paterson,2,3.2803301,-0.5031088
D Paterson,1,5.0274491,-0.2397033
D Paterson,0,5.6394238,-0.4422988
D Paterson,1,8.1632172,-0.3844422
D Paterson,0,5.2318385,-0.2443639
D Paterson,0,4.0273601,-0.2717787
D Paterson,0,4.0999825,-0.0775649
D Paterson,6,11.0658912,-0.3938848
D Paterson,0,7.1960223,-0.2074047
D Paterson,1,7.420159,-0.4693906
D Paterson,1,6.3031027,-0.3447279
D Paterson,3,4.2412129,-0.1393311
D Paterson,1,6.9341895,-0.0793199
LW James,0,9.6104773,-0.328026
LW James,2,4.070355,0.4183948
BA Hutton,0,7.3389377,-0.2646343
BA Hutton,1,8.2905683,-0.1814168
BA Hutton,1,7.0520259,0.1634679
BA Hutton,0,7.8732828,-0.4352932
BA Hutton,0,7.4514019,-0.3912391
BA Hutton,0,7.6206124,-0.3819137
LW James,1,10.0399043,0.4342348
LW James,0,8.1652846,-0.3496161
LW James,0,9.5765112,-0.3719967
LW James,1,11.8221318,-0.5304317
LW James,0,8.0276557,0.5643393
LW James,1,8.5802375,0.4608278
BA Hutton,0,6.6053251,-0.3701999
BA Hutton,0,7.1958284,-0.2456396
BA Hutton,0,6.3407797,-0.1075581
BA Hutton,1,7.1423792,-0.4547584
BA Hutton,1,5.9805182,0.4667584
LW James,0,6.5447051,0.4858108
LW James,1,7.2038168,0.4141066
LW James,1,7.6293247,-0.0640178
LW James,0,8.38361,-0.3485586
LW James,0,7.686462,-0.4248875
BA Hutton,1,4.1625667,0.4368172
BA Hutton,0,5.6252722,-0.0361497
BA Hutton,0,5.3738788,-0.2167366
BA Hutton,0,7.4565561,-0.1409609
BA Hutton,1,8.6168621,-0.1215076
BA Hutton,0,6.3687757,0.4926388
LW James,0,6.2478811,-0.635952
LW James,0,7.0149393,-0.2113375
LW James,1,6.6575509,-0.4969278
LW James,0,6.1708431,0.6769134
LW James,0,5.4187608,0.3644758
LW James,0,7.9379859,0.6692116
BA Hutton,0,7.1306956,-0.380239
BA Hutton,0,5.5286368,-0.057179
BA Hutton,0,7.8595108,-0.2148602
BA Hutton,0,8.0211586,-0.2995764
BA Hutton,1,6.0556306,-0.0631132
LW James,0,8.0921038,-0.4395241
LW James,0,4.7997687,-0.5122745
LW James,0,4.6991749,-0.0937601
LW James,4,6.0039147,-0.2245883
LW James,2,9.023198,-0.3720528
LW James,0,7.9614014,-0.2725214
BA Hutton,0,7.1801014,0.5016632
BA Hutton,0,5.8847148,0.419078
BA Hutton,0,7.8325688,0.6266296
BA Hutton,0,6.9065215,0.5445774
BA Hutton,4,7.2504514,0.6558467
BA Hutton,0,7.6895019,0.4229918
D Paterson,4,5.6752677,-0.2962437
D Paterson,0,8.6389318,-0.3989801
D Paterson,0,7.5511894,-0.3693302
D Paterson,0,5.9540595,-0.4328364
D Paterson,0,5.6635852,-0.3586965
D Paterson,1,7.0341695,0.6015131
D Paterson,1,5.5093884,-0.2329241
D Paterson,1,6.8479881,0.2485385
D Paterson,0,6.114534,-0.0618957
D Paterson,1,7.2783186,-0.415793
D Paterson,0,5.9840785,0.4977158
D Paterson,1,4.3394823,0.1834156
D Paterson,0,6.1647979,-0.3142418
D Paterson,2,12.7404142,-0.5758516
D Paterson,1,6.381045,0.0294399
D Paterson,1,8.2972031,0.2929133
D Paterson,0,5.666671,-0.2082165
DY Pennington,0,6.6905004,0.4253272
DY Pennington,0,7.8955172,-0.698156
DY Pennington,0,6.7341032,-0.4173327
D Paterson,0,7.4594123,0.3109296
D Paterson,4,4.8467555,0.2091746
D Paterson,0,7.6776159,0.4842721
D Paterson,4,4.8635406,0.4703115
D Paterson,1,6.0856155,0.534413
D Paterson,0,5.0100314,-0.2050991
DY Pennington,1,11.410125,0.5518439
LW James,0,2.7344519,0.5500848
LW James,1,8.1092274,0.4033002
LW James,0,5.923705,-0.1854292
LW James,1,11.2120702,-0.3845897
LW James,4,2.3803113,0.5143911
DY Pennington,0,5.1050035,-0.3316107
DY Pennington,1,6.2996537,-0.4416707
DY Pennington,0,7.6442176,-0.420218
DY Pennington,0,8.1212742,-0.3647938
DY Pennington,0,7.4703249,-0.4549025
LW James,0,4.8661411,-0.0238477
LW James,0,8.1922183,-0.046317
LW James,4,6.0807892,-0.2051089
LW James,1,10.1038415,-0.2833401
LW James,1,12.2166905,-0.4460891
LW James,0,8.7111445,0.7300728
CG Harrison,0,4.5158348,-0.177108
CG Harrison,1,3.6228961,0.0790413
CG Harrison,1,2.6692913,-0.371431
CG Harrison,0,2.5737533,0.4288344
LW James,0,5.3004287,-0.2792216
LW James,0,9.3242832,-0.3466804
LW James,0,7.495158,-0.2315861
LW James,0,8.4489663,-0.2230033
LW James,1,6.2694074,-0.4266308
LW James,0,5.5735368,0.4409693
CG Harrison,1,2.6742567,0.1439972
BA Hutton,1,12.5418764,-0.001179
BA Hutton,0,7.1051898,0.5475669
BA Hutton,1,7.8238763,0.4990751
BA Hutton,0,6.5100457,0.0120333
BA Hutton,1,6.3978985,-0.2721331
BA Hutton,0,4.3989006,0.5099722
CG Harrison,1,4.8717402,0.1435259
CG Harrison,0,4.165686,0.2322106
CG Harrison,0,3.9147934,0.5010655
CG Harrison,0,5.4974726,0.2372702
BA Hutton,0,7.6042647,-0.2129305
BA Hutton,1,13.7562346,-0.2119258
BA Hutton,0,7.0151979,0.4941552
BA Hutton,1,7.5267399,0.4659327
BA Hutton,1,13.7717851,-0.1346781
BA Hutton,1,6.5411508,0.3361137
CG Harrison,0,4.9986174,0.642641
CG Harrison,0,4.4825384,0.5432831
CG Harrison,4,4.7669981,0.5796228
BA Hutton,0,7.4662602,0.003912
BA Hutton,1,6.289499,-0.563896
BA Hutton,1,5.3967022,0.2536559
BA Hutton,1,12.8174314,-0.1034363
BA Hutton,1,8.7150262,0.3995202
BA Hutton,0,6.8488115,-0.1614027
CG Harrison,1,3.0038607,-0.0428284
CG Harrison,1,3.285518,0.9640553
CG Harrison,1,4.9915392,-0.1516336
CG Harrison,1,4.6663165,0.6067833
M Montgomery,6,5.4659505,0.5425711
CG Harrison,0,3.3279729,0.4468934
CG Harrison,0,4.0331704,0.4898657
D Paterson,0,3.6984034,-0.1898421
D Paterson,0,4.2095595,-0.348051
D Paterson,0,6.1951213,-0.2032093
D Paterson,1,7.392591,-0.1618512
D Paterson,1,5.7907168,-0.3817594
CG Harrison,1,3.3139511,0.0388505
D Paterson,2,3.3059479,0.0801546
D Paterson,1,4.3565155,-0.5687902
D Paterson,0,5.8298337,-0.1996467
D Paterson,0,2.0193841,-0.3200492
D Paterson,0,6.1501109,-0.1259643
D Paterson,1,6.4701245,-0.1900073
CG Harrison,1,3.0389058,0.592023
M Montgomery,1,7.4261574,0.1121802
M Montgomery,0,4.711502,0.1436697
M Montgomery,1,7.6753545,0.3752685
M Montgomery,1,4.71519,0.3299728
CG Harrison,0,4.7464897,0.207322
BA Hutton,1,7.5407484,0.0071037
BA Hutton,0,8.1219048,-0.0800074
BA Hutton,0,5.311801,-0.1039246
BA Hutton,0,7.3997987,-0.0592994
BA Hutton,1,8.5453382,-0.3586508
BA Hutton,1,6.1946826,-0.1844803
BA Hutton,1,7.5361154,-0.1775641
BA Hutton,0,7.0464307,-0.0262491
BA Hutton,1,8.4304832,-0.1025526
BA Hutton,4,7.8983799,-0.3773596
BA Hutton,0,6.4260283,-0.3921531
BA Hutton,1,6.9937968,-0.2061937
DY Pennington,4,7.4266959,-0.407274
DY Pennington,4,5.1969771,-0.3343306
DY Pennington,4,7.7926397,-0.532839
DY Pennington,0,8.2405676,-0.4883876
BA Hutton,1,7.2747035,-0.1720636
BA Hutton,1,8.2150222,0.0701826
BA Hutton,0,6.463273,-0.2546558
BA Hutton,0,6.9905144,-0.1296219
BA Hutton,0,4.2491491,-0.1220824
BA Hutton,0,7.9135903,-0.1722404
DY Pennington,4,11.237313,-0.5059796
DY Pennington,4,8.7277827,-0.5780672
DY Pennington,0,8.0248352,-0.1064963
DY Pennington,0,8.043659,-0.4352628
BA Hutton,0,6.8208578,0.3029517
BA Hutton,0,7.3446449,-0.3467245
BA Hutton,1,7.738807,-0.0978306
BA Hutton,0,6.4997201,-0.1204321
BA Hutton,0,6.3408915,-0.0890077
BA Hutton,1,7.6310951,0.0486808
DY Pennington,0,2.6117469,0.0847804
LW James,0,7.8591475,-0.2303454
LW James,0,8.0926452,-0.2648353
LW James,0,6.3589557,-0.2837423
LW James,1,5.5592356,-0.0366535
LW James,1,5.4226672,-0.4094918
LW James,1,8.1672206,-0.3879557
DY Pennington,0,6.5646299,-0.0241996
DY Pennington,4,4.6029165,-0.2374597
DY Pennington,0,9.2662992,-0.5547977
DY Pennington,0,6.9006883,-0.2900967
DY Pennington,1,5.8254608,-0.3717658
LW James,0,6.2955826,-0.2085564
LW James,0,6.6809757,-0.0292976
LW James,1,7.8271894,-0.2388238
LW James,1,9.4247028,-0.4669224
LW James,0,6.7053783,-0.26209
LW James,0,7.8226145,-0.5058341
DY Pennington,0,6.6282896,-0.2912329
DY Pennington,0,5.946923,-0.391831
DY Pennington,0,9.1295893,-0.6658192
DY Pennington,0,7.8863275,-0.2347409
LW James,0,6.6764544,-0.3504746
LW James,0,8.6287957,-0.2599354
LW James,4,8.3677212,-0.3721984
LW James,4,3.9599611,-0.3546562
LW James,0,6.6441644,-0.3221191
LW James,0,5.8618661,-0.2915607
DY Pennington,0,6.769756,-0.3255204
DY Pennington,0,7.9195149,-0.247408
DY Pennington,1,6.5731791,-0.297585
LW James,1,5.9445294,-0.3239496
LW James,0,13.1526222,-0.4958894
LW James,1,8.7061109,-0.2244098
LW James,0,6.3473344,-0.3247364
LW James,1,13.6847848,-0.3997969
LW James,4,7.4554339,-0.2692648
DY Pennington,0,6.2490232,-0.395018
DY Pennington,6,7.0602608,-0.3040557
DY Pennington,1,7.7289896,-0.3777226
LW James,0,8.9269705,-0.2219164
LW James,4,12.4711752,-0.3329844
LW James,0,10.2348316,-0.3254783
LW James,2,10.821311,-0.2086777
LW James,0,12.8675783,-0.6456767
LW James,4,4.5443171,0.0177992
JA Porter,2,6.3367285,-0.201587
JA Porter,4,6.1304434,-0.1128841
JA Porter,0,8.408019,-0.3855453
JA Porter,0,7.3981103,-0.1077589
JA Porter,0,7.7193001,-0.3831921
JA Porter,0,8.0141047,-0.3851182
SJ Cook,1,6.288822,0.1892013
SJ Cook,0,7.1207295,-0.2350512
SJ Cook,0,7.112589,-0.0785288
SJ Cook,4,7.1441133,-0.4652162
SJ Cook,0,6.4957211,-0.1802113
SJ Cook,0,5.0624432,-0.2383141
JA Porter,0,5.0058158,0.3443928
JA Porter,4,8.1632164,0.3492389
JA Porter,0,8.1611912,0.3902656
JA Porter,0,7.0782665,0.2977121
JA Porter,2,4.578989,0.3400217
SJ Cook,0,6.9365164,-0.2921165
SJ Cook,0,7.5642834,-0.4375137
SJ Cook,0,7.5134668,-0.255111
SJ Cook,0,7.4390494,-0.2371302
SJ Cook,0,6.5646165,-0.172126
JA Porter,0,5.0627459,0.3343289
JA Porter,0,6.1900694,0.2825787
JA Porter,0,7.4130293,0.4726213
JA Porter,0,8.0139593,0.4238348
JA Porter,1,7.1013426,0.359649
SJ Cook,0,8.2170582,0.5421361
SJ Cook,0,6.3224374,-0.5212794
SJ Cook,0,8.4447509,-0.3397162
SJ Cook,0,6.1389216,-0.4122069
JA Porter,0,5.8824958,-0.3116201
JA Porter,0,6.3799632,-0.1377464
JA Porter,0,9.144659,-0.3586854
JA Porter,0,7.2819933,-0.3905825
JA Porter,0,8.712047,-0.2626629
SJ Cook,0,8.3745004,-0.3286526
SJ Cook,0,8.296684,-0.3839478
SJ Cook,0,7.2490607,-0.5164176
SJ Cook,1,6.879987,-0.2259729
SJ Cook,3,6.6280891,-0.3700588
